Date,Direct Radiation [W/m2]
1982.39,347.03
1982.48,369.17
1982.56,384.44
1982.68,407.35
1982.82,439.42
1983,479.12
1983.60,488.30
1983.91,499.76
1984.63,506.66
1985.61,518.91
1986.36,521.23
1987.16,526.60
1988,526.64
1988.71,527.43
1990.38,525.96
1991.07,529.81
