date,value
1982.396551724138, 347.0380363253488
1982.4827586206898, 369.1787312450645
1982.5689655172414, 384.4491971571466
1982.683908045977, 407.35434763534266
1982.8275862068965, 439.42090023690446
1983, 479.12213740458014
1983.603448275862, 488.3054751250329
1983.9195402298851, 499.7679213828201
1984.6379310344828, 506.6655698868123
1985.6149425287356, 518.9166008598754
1986.3620689655172, 521.2351934719663
1987.1666666666667, 526.6094147582697
1988, 526.6412213740458
1988.7183908045977, 527.4319996490304
1990.3850574712644, 525.9688953233307
1991.0747126436781, 529.8120119329649
